Nombre,Pais,Deporte,Disciplina,Año_JOJ,Resultado_JOJ,Oro_2010,Plata_2010,Bronce_2010,Oro_2014,Plata_2014,Bronce_2014,Oro_2018,Plata_2018,Bronce_2018,Trascendencia,2012,Resultado_2012,2016,Resultado_2016,2020,Resultado_2020
Tang Yi,CHN,Acuatico,Natación,2010,"1 Oro en 4 × 100 metros Relevo.Estilo Libre 1 Oro en 100 metros Freestyle.1 Oro en 4 × 100 metros Relevo.Combinado 1 Oro en 200 metros Freestyle.1 Oro en 4 × 100 metros Freestyle Relay.1 Oro en 50 metros Freestyle",6,0,0,,,,,,,1,Participó,Fue medallista,No participó,No participó,No Participó,No Participó
Liu Lan,CHN,Acuatico,Natación,2010,"1 Oro en 4 × 100 metros Relevo Libre Mixto Juvenil.1 Oro en 4 × 100 metros Relevo Combinado Mixto Juvenil.1 Oro en 4 × 100 metros Relevo Libre Femenino.1 Oro en 50 metros Mariposa Femenino.1 Oro en 100 metros Mariposa Femenino.1 Bronce en 200 metros Mariposa Chicas",5,0,1,,,,,,,0,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó
Bai Anqi,CHN,Acuatico,Natación,2010,oro: 200 m espalda. 4×100 m estilo libre. 4×100 m estilo libre (mixto) (nadó solo en eliminatorias) y 4×100 m combinado (mixto (nadó solo en eliminatorias). plata: 100 m espalda,4,1,0,,,,,,,1,Participó,Fue medallista,No Participó,No participó,No Participó,No Participó
He Jianbin,CHN,Acuatico,Natación,2010,oro: 100 m espalda. 4×100 m estilo libre (mixto) y 4×100 m combinado (mixto). plata: 4×100 m estilo libre),3,1,0,,,,,,,1,Participó,No Fue Medallista,Participó,No Fue Medallista,No Participó, No Participó
Viktoriya Komova,RUS,Gimnacia,Gimnacia Artistica,2010,ro: all-around. barras asimétricas y salto. bronce: suelo,3,0,1,,,,,,,,1,Participó,Fue medallista,No participó,No participó,No participó,No participó
Oleq Stepko,AZE,Gimnacia,Gimnacia Artistica,2010,oro: caballo con pomo y barras paralelas. plata: all-around y suelo (compitió como Oleh Stepko por Ucrania,2,2,0,,,,,, ,1,Participó,No Fue Medallista,Participó,Fue Medallista,No participó,No participó
Tan Sixin,CHN,Gimnacia,Gimnacia Artistica,2010,,2,0,,,,,,,,0,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó
Nick Schafer,AUS,Acuatico,Natación,2010,,2,1,2,,,,,,,,0,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó
Emily Selig,AUS,Acuatico,Natación,2010,,2,1,1,,,,,,,,0,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó
Boglárka Kapás,HUNO,Acuatico,Natación,2010,oro: 400 m estilo libre y 200 m mariposa. plata: 200 m estilo libre,2,1,0,,,,,,,1,Participó,No Fue Medallista,Participó,Fue Medallista,Participó,No Fue Medallista
Dúo Shen,CHN,Acuatico,Natación,2014,Oro en Incheon SWM 2014: 100 m libre. 200 m libre. 4×100 m relevo libre y relevo 4×200 m libre. 2018 Yakarta/Palembang SWM oro: 4×200 m relevo estilo libre (nadó solo en eliminatorias),,,, 6,0,0,,,,1,No Participó,No Participó,Participó,No Fue Medallista,No Participó,No Participó
Zhang Yufei,CHN,Acuatico,Natación,2014,oro: relevo 4×100 m estilo libre; 2018 Yakarta/Palembang SWM oro: 200 m mariposa y 4×100 m relevo mixto combinado. plata: 100 m mariposa,,,,4,2,0,,,,1,No Participó,No Participó,Participó,No Fue Medallista, Participó,Fue Medallista
Qiu Yuhan,CHN,Acuatico,Natación,2014,Oro en el SWI: 4×100 m libre. 4×100 m combinado. 4×100 m estilo libre (mixto) y 4×100 m combinado (mixto solamente). plata: 200 m libre. bronce: 100 m libre,,,,4,1,1,,,,1,Participó,No Fue Medallista,No participó,No participó,No participó,No participó
participóYu Hexin,CHN,Acuatico,Natación,2014,Oro en Incheon SWM 2014: relevo 4×100 m estilo libre y relevo 4×100 m combinado (solo nadó en eliminatorias); 2018 Yakarta/Palembang SWM oro: 50 m estilo libre y relevo 4×100 m combinado. plata: relevo 4×100 m estilo libre. bronce: 100 m estilo libre,,,,4,1,0,,,,1,No Participó,No Participó,Participó,No Fue Medallista,Participó,No Fue Medallista
Nikita Nagorny,ROC,Gimnacia,Gimnacia Artistica,2014, oro: barras paralelas, anillas y caballo con pomo, plata: all-around, bronce: salto,,,,3,1,1,,,,1,No Participó,No Participó,Participó,Fue Medallista,Participó,Fue Medallista
Yevgeny Rylov,ROC,Acuatico,Natación,2014,oro: 50 m espalda, 100 m espalda y 4×100 m combinado, plata: 200 m espalda,,,,3,1,0,,,,1,No Participó,No Participó,Participó,Fue Medallista,Participó,Fue Medallista
He Yun,CHN,Acuatico,Natación,2014, bronce: 100 m braza,,,,3,1,0,,,,0,No Participó,No Participó,No participó,No participó,No Participó,No Participó
Giarnni Regini-Moran,GBR,Gimnacia,Gimnacia Artistica,2014, plata: suelo,,,,3,0,2,,,,1,No Participó,No Participó,No participó,No participó,Participó,No Fue Medallista
Li Guangyuan,CHN,Acuatico,Natación,2014, oro: 200 m espalda, 4×100 m estilo libre (mixto) y 4×100 m combinado (mixto), bronce: 100 m espalda,,,,3,0,1,,,,1,No Participó,No Participó,Participó,No Fue Medallista,No Participó,No Participó
Li Zhuhao,CHN,Acuatico,Natación,2014,Oro en SWI: 100 m mariposa, 4×100 m estilo libre (mixto) (nadó solo en eliminatorias) y 4×100 m combinado (mixto) (nadó solo en eliminatorias),,,, 3,0,0,,,,0,No Participó,No Participó,Participó,No Fue Medallista,No Participó,No Participó
Kliment Kolesnikov,ROC,Acuatico,Natación,2018,Oro en Hangzhou 2018: 100 m combinado y relevo 4×50 m combinado, plata: relevo 4×50 m estilo libre (solo nadó en eliminatorias), relevo 4×100 m estilo libre y relevo 4×100 m combinado, bronce: 100 m espalda y 4×50 m relevo mixto,,,,6,1,0,1,No Participó,No Participó,No participó,No participó,Participó,Fue Medallista
Andréi Minakov,ROC,Acuatico,Natación,2018,,,,,,,,6,1,0,1,No Participó,No Participó,No participó,Participó,Participó,No Fue Medallista
Takeru Kitazono,JPN,Gimnacia,Gimnacia Artistica,2018,,,,,,,,5,1,0,1,No Participó,No Participó,No Participó,No participó,Participó,Participó,Fue Medallista
Daniil Markov,RUS,Acuatico,Natación,2018,,,,,,,,3,3,0,0,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó
Polina Yegorova,RUS,Acuatico,Natación,2018,,,,,,,,3,1,2,0,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó
Anastasiya Makarova,RUS,Acuatico,Natación,2018,,,,,,,,3,1,1,0,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó
Darya Vaskina,RUS,Acuatico,Natación,2018,,,,,,,,3,1,1,0,No Participó,No Participó,No Participó,No Participó,No Participó,No
ParticipóKristóf Milák,HUNO,Acuatico,Natación,2018,200 m mariposa; Oro en Budapest SWM 2020/2021: 100 m mariposa y 200 m mariposa,,,,,,,,3,1,0,1,No Participó,No Participó,No Participó,No Participó,Participó,Fue Medallista
Vladislav Gerasimenko,RUS,Acuatico,Natación,2018,,,,,,,,3,1,0,0,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó
Giorgia Villa,ITA,Gimnacia,Gimnacia Artistica,2018,,,,,,,,3,1,0,0,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Participó,No Particip