República Popular China,99,50,38,187
Federación Rusa,96,74,58,228
Equipo mixto,48,46,52,146
Japón, 43,42,30,115
República de Corea,37,23,21,81
Estados Unidos de América,34,31,31,96
Alemania,29,42,42,113
Italia,28,34,34,96
Francia,25,28,36,89
Hungría,24,20,22,66
Ucrania,22,25,30,77
Suiza,19,12,21,52
Australia,17,27,29,73
Suecia,17,12,14,43
Austria,17,10,24,51
Cuba,15,4,5,24
Noruega,13,17,18,48
Gran Bretaña,13,12,22,47
Argentina,13,10,15,38
Azerbaiyán,12,10,4,26
República Islámica del Irán,12,5,8,25
Tailandia,11,10,5,26
Brasil,10,13,9,32
Eslovenia,10,10,13,33
Canadá,9,13,29,51
Kazajstán,9,7,13,29
Países Bajos,8,10,15,33
Rumanía,8,10,5,23
Kenia,8,3,4,15
Chequia,7,13,14,34
Etiopía,7,8,6,21
Colombia,7,7,5,19
Egipto,7,5,14,26
Lituania,7,3,4,14
Polonia,7,1,9,17
Uzbekistán,6,10,13,29
Bulgaria,6,6,4,16
Nueva Zelanda,6,5,6,17
Sudáfrica,6,5,4,15
Bielorrusia,5,11,5,21
España,5,9,20,34
Bélgica,5,8,8,21
Türkiye,4,8,19,31
Finlandia,4,5,9,18
Israel,4,4,2,10
Croacia,4,3,4,11
República Popular Democrática de Corea,4,3,3,10
Vietnam,4,3,2,9
Jamaica,4,2,1,7
India,3,16,4,23
México, 3,9,17,29
Taipei Chino,3,7,4,14
Grecia,3,4,5,12
Letonia,3,4,5,12
Armenia,3,3,7,13
Dinamarca,3,3,5,11
Nigeria,3,3,2,8
República de Moldova,3,2,2,7
Venezuela,2,8,5,15
Eslovaquia,2,7,6,15
Marruecos,2,5,3,10
Singapur,2,3,4,9
Malasia,2,3,1,6
Mongolia,2,3,1,6
República Dominicana,2,1,2,5
Qatar,2,1,0,3
Georgia,1,6,4,11
Serbia,1,4,4,9
Portugal,1,4,2,7
Irlanda,1,3,3,7
Kirguistán,1,3,3,7
Ecuador,1,3,2,6
Túnez,1,2,2,5
Estonia,1,2,1,4
Puerto Rico,1,1,2,4
Uganda,1,1,2,4
Trinidad y Tobago,1,1,1,3
Zambia,1,1,1,3
Burundi,1,1,0,2
Reino de Arabia Saudita,1,0,3,4
Eritrea,1,0,2,3
Perú,1,0,2,3
Islandia,1,0,1,2
Bolivia,1,0,0,1
Chile,1,0,0,1
Ghana,1,0,0,1
Mauricio,1,0,0,1
Surinam,1,0,0,1
Islas Vírgenes de los Estados Unidos,1,0,0,1
Uruguay,1,0,0,1
Hong Kong,0,6,2,8
Argelia,0,5,0,5
Botsuana,0,2,0,2
Chipre,0,2,0,2
Jordania,0,1,2,3
Bahamas,0,1,2,3
Baréin,0,1,1,2
Bosnia y Herzegovina,0,1,1,2
Pakistán,0,1,1,2
Tayikistán,0,1,1,2
El Salvador,0,1,0,1
Guinea Ecuatorial,0,1,0,1
Haití,0,1,0,1
Luxemburgo,0,1,0,1
Nauru,0,1,0,1
Filipinas,0,1,0,1
Santa Lucía,0,1,0,1
Emiratos Árabes Unidos,0,1,0,1
Indonesia,0,0,3,3
Afganistán,0,0,1,1
Andorra,0,0,1,1
Camboya,0,0,1,1
Djibouti,0,0,1,1
Fiji,0,0,1,1
Granada,0,0,1,1
Guatemala,0,0,1,1
Honduras,0,0,1,1
Irak,0,0,1,1
Kosovo,0,0,1,1
Kuwait,0,0,1,1
Líbano,0,0,1,1
Liechtenstein,0,0,1,1
Mónaco,0,0,1,1
Antillas Neerlandesas,0,0,1,1
Níger,0,0,1,1
Macedonia del Norte,0,0,1,1
Sri Lanka,0,0,1,1
Turkmenistán,0,0,1,1